Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.996031746031746,0.5583333333333333,1.0,0.9960159362549801,0.6435331230283912,1.0,1.0,0.6719661614416592,1.0,1.0,0.5895953757225434,1.0,0.9920634920634921,0.7083333333333334,93
2,1.0,0.9813258636788049,0.6347222222222222,1.0,0.984251968503937,0.7066246056782335,1.0,0.9992389697571825,0.7048388716339435,1.0,0.9765625,0.6473988439306358,1.0,0.9920634920634921,0.7777777777777778,47
3,1.0,0.9656862745098039,0.6541666666666667,1.0,0.972972972972973,0.7215189873417721,1.0,0.9688840046973598,0.6890814890263728,1.0,0.9473684210526315,0.6627906976744186,1.0,1.0,0.7916666666666666,34
4,1.0,0.9626517273576096,0.6458333333333333,1.0,0.96875,0.7169811320754716,1.0,0.9971947316454621,0.6489237469634526,1.0,0.9538461538461539,0.6551724137931034,1.0,0.9841269841269841,0.7916666666666666,92
5,1.0,0.9765625,0.5965277777777778,1.0,0.976,0.6750788643533123,1.0,0.9970192392054006,0.6491749612076825,1.0,1.0,0.6184971098265896,1.0,0.953125,0.7430555555555556,95
