Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9911297852474323,0.6291666666666667,1.0,0.9920634920634921,0.7080745341614907,1.0,0.9998147090716132,0.7799001246000301,1.0,0.9920634920634921,0.6404494382022472,1.0,0.9920634920634921,0.7916666666666666,93.0
2,1.0,0.9764239028944912,0.6347222222222222,1.0,0.9803921568627451,0.7066246056782335,1.0,0.9991315865062437,0.7945092505861926,1.0,0.9689922480620154,0.6473988439306358,1.0,0.9920634920634921,0.7777777777777778,18.0
3,0.9952268377800293,0.9764239028944912,0.6819444444444445,0.9957446808510638,0.9803921568627451,0.7284768211920529,0.9997464382663525,0.9725370355811622,0.7055651858577252,0.9957446808510638,0.9689922480620154,0.6962025316455697,0.9957446808510638,0.9920634920634921,0.7638888888888888,8.0
4,0.9989361702127659,0.9822595704948646,0.6333333333333333,0.9989350372736954,0.9841269841269841,0.7102803738317757,0.999995477870399,0.998787081724938,0.7600499228780087,1.0,0.9841269841269841,0.6440677966101694,0.997872340425532,0.9841269841269841,0.7916666666666666,14.0
5,0.9893949617633828,0.9921875,0.6590277777777778,0.9903743315508021,0.9921259842519685,0.7345679012345679,0.9994886163759447,0.9980096861740538,0.8236870127202236,0.9914346895074947,1.0,0.6611111111111111,0.9893162393162394,0.984375,0.8263888888888888,64.0
Average,0.9967115939512355,0.9836849323062559,0.6476388888888889,0.9970108099351123,0.985820154833587,0.7176048472196241,0.9998461065025392,0.9936560198116023,0.7727422993284361,0.9974358740717116,0.9828349944629015,0.6578459442999467,0.9965866521185671,0.988938492063492,0.7902777777777776,
