Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall
1,1.0,0.9852941176470589,0.625,1.0,0.9882352941176471,0.7304347826086957,1.0,0.9991728534319859,0.7922073812925403,1.0,0.9767441860465116,0.6268656716417911,1.0,1.0,0.875
2,1.0,0.9813258636788049,0.5902777777777778,1.0,0.984251968503937,0.6790123456790124,1.0,0.9993071049098337,0.6877896969033432,1.0,0.9765625,0.6111111111111112,1.0,0.9920634920634921,0.7638888888888888
3,1.0,0.9880952380952381,0.5618055555555556,1.0,0.9879518072289156,0.6477987421383647,1.0,0.9989158302345751,0.6304558282574757,1.0,1.0,0.5919540229885057,1.0,0.9761904761904762,0.7152777777777778
4,1.0,0.9773576097105509,0.6666666666666666,1.0,0.9802371541501976,0.7522388059701492,1.0,0.9985856637189284,0.7552521927883449,1.0,0.9763779527559056,0.6596858638743456,1.0,0.9841269841269841,0.875
5,1.0,0.9721875,0.6430555555555555,1.0,0.9767441860465116,0.7239263803680982,0.9999999999999999,0.9993518139524689,0.722674861574911,1.0,0.9692307692307692,0.6483516483516484,1.0,0.984375,0.8194444444444444
Average,1.0,0.9808520658263304,0.617361111111111,1.0,0.9834840820094417,0.7066822113528641,1.0,0.9990666532495585,0.717675992163323,1.0,0.9797830816066373,0.6275936635934803,1.0,0.9873511904761905,0.8097222222222221
