Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,1.0,0.5875,1.0,1.0,0.6728971962616822,1.0,0.9999999999999999,0.7888002488943215,1.0,1.0,0.6101694915254238,1.0,1.0,0.75,24.0
2,1.0,0.9813258636788049,0.6020833333333333,1.0,0.984251968503937,0.7005988023952096,1.0,0.9980802568939313,0.7756979192268494,1.0,0.9765625,0.6157894736842106,1.0,0.9920634920634921,0.8125,13.0
3,0.9923224135990094,0.9901960784313726,0.6430555555555555,0.9936440677966102,0.9921259842519685,0.7239263803680982,0.9999368946943916,0.9793630390913332,0.7493566366475144,0.989451476793249,0.984375,0.6483516483516484,0.997872340425532,1.0,0.8194444444444444,36.0
4,1.0,0.9901960784313726,0.6388888888888888,1.0,0.9921259842519685,0.7088607594936709,1.0,0.9996812184611419,0.7969240038553009,1.0,0.984375,0.6511627906976745,1.0,1.0,0.7777777777777778,40.0
5,1.0,0.99609375,0.6361111111111111,1.0,0.996078431372549,0.7028753993610224,1.0,0.9966643089978993,0.6952834862759164,1.0,1.0,0.650887573964497,1.0,0.9921875,0.7638888888888888,36.0
Average,0.9984644827198018,0.9915623541083101,0.6215277777777777,0.9987288135593222,0.9929164736760846,0.7018317075759366,0.9999873789388782,0.9947577646888611,0.7612124589799805,0.9978902953586498,0.9890625,0.6352721956446908,0.9995744680851064,0.9968501984126984,0.7847222222222222,
