Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,0.667532796755181,0.6344246031746033,0.6502539829138767,0.7231638418079096,0.6936026936026936,0.7227414330218068,0.7993870463281834,0.7048924984937017,0.7574355314144099,0.6943942133815552,0.673202614379085,0.6480446927374302,0.7544204322200393,0.7152777777777778,0.8169014084507042,34.0
2,0.8617588128330254,0.7910902047592696,0.6092126529669822,0.8745019920318725,0.8100358422939068,0.6855345911949685,0.9524721630903263,0.8860607449641872,0.7437489767059251,0.8868686868686869,0.8071428571428572,0.6193181818181818,0.862475442043222,0.8129496402877698,0.7676056338028169,97.0
3,0.9323784777235566,0.8664442797133679,0.6391133687370123,0.9384920634920635,0.8794326241134752,0.7125,0.9786817573499461,0.930879757228472,0.7872006517659366,0.9478957915831663,0.8857142857142857,0.6404494382022472,0.9292730844793713,0.8732394366197183,0.8028169014084507,120.0
4,0.8639330756068191,0.8344708848305971,0.5723851304548603,0.8882575757575758,0.8675496688741722,0.6823529411764706,0.954774564305089,0.9187118593515564,0.6788584904178903,0.8574040219378428,0.803680981595092,0.5858585858585859,0.9214145383104125,0.9424460431654677,0.8169014084507042,103.0
5,0.928723792826357,0.8819444444444444,0.6156776725929346,0.9289392378990731,0.8814814814814815,0.6956521739130435,0.9870208685435359,0.9707138452599122,0.697597090809045,0.9719827586206896,0.9444444444444444,0.6222222222222222,0.8895463510848126,0.8263888888888888,0.7887323943661971,131.0
Average,0.8508653911489878,0.8016748833844565,0.6173285615331332,0.8706709421976988,0.8264204620731459,0.6997562278612579,0.934467279923416,0.8822517410595658,0.7329681482226414,0.8717090944783882,0.8228370366551528,0.6231786241677335,0.8714259696275717,0.8340603573479244,0.7985915492957746,
