Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9920634920634921,0.5680555555555555,1.0,0.992,0.6583850931677019,1.0,0.9998147090716132,0.7093240817494908,1.0,1.0,0.5955056179775281,1.0,0.9841269841269841,0.7361111111111112,50
2,1.0,0.9813258636788049,0.6277777777777778,1.0,0.984251968503937,0.7116564417177914,1.0,0.9957697110531953,0.7435156967573073,1.0,0.9765625,0.6373626373626373,1.0,0.9920634920634921,0.8055555555555556,94
3,1.0,0.9705882352941176,0.6673611111111111,1.0,0.9767441860465116,0.7266881028938906,1.0,0.9665535006345969,0.712850471904106,1.0,0.9545454545454546,0.6766467065868264,1.0,1.0,0.7847222222222222,54
4,1.0,0.9675536881419233,0.5965277777777778,1.0,0.9725490196078431,0.6750788643533123,1.0,0.9976860255923895,0.679455903743857,1.0,0.9612403100775194,0.6184971098265896,1.0,0.9841269841269841,0.7430555555555556,77
5,1.0,0.984375,0.5722222222222222,1.0,0.9841269841269841,0.660436137071651,0.9999999999999999,0.9947850818276169,0.6639742349595842,1.0,1.0,0.5988700564971752,1.0,0.96875,0.7361111111111112,58
