fold,train_accuracy,train_f1_score,train_auc_pr,train_precision,train_recall,val_accuracy,val_f1_score,val_auc_pr,val_precision,val_recall,test_accuracy,test_f1_score,test_auc_pr,test_precision,test_recall
1,1.0,1.0,1.0,1.0,1.0,0.9560242624758755,0.9617021276595744,0.9958781317348507,0.9576271186440678,0.9658119658119658,0.5863095238095238,0.6888217522658611,0.7613494117109847,0.5968586387434555,0.8142857142857143
2,1.0,1.0,1.0,1.0,1.0,0.961400606561897,0.9658119658119658,0.9967952779019457,0.9658119658119658,0.9658119658119658,0.5797619047619047,0.6788990825688074,0.804064781591773,0.5935828877005348,0.7928571428571428
3,1.0,1.0,1.0,1.0,1.0,0.9432037496553626,0.9482758620689655,0.9915480668611967,0.9565217391304348,0.9401709401709402,0.6023809523809524,0.6990881458966566,0.7687369633279129,0.6084656084656085,0.8214285714285714
4,1.0,1.0,1.0,1.0,1.0,0.9506479183898539,0.9576271186440678,0.990642435762672,0.9495798319327731,0.9658119658119658,0.6005952380952381,0.6894409937888198,0.7914801855070772,0.6098901098901099,0.7928571428571428
5,1.0,1.0,1.0,1.0,1.0,0.9474023581429625,0.9531914893617022,0.9917350120495725,0.9572649572649573,0.9491525423728814,0.6000000000000001,0.691358024691358,0.7802599928826681,0.6086956521739131,0.8
average,1.0,1.0,1.0,1.0,1.0,0.9517357790451904,0.9573217127092551,0.9933197848620475,0.9573611225568397,0.9573518759959437,0.5938095238095238,0.6895215998423005,0.7811782670040832,0.6034985793947244,0.8042857142857143
