Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_precision,Val_precision,Test_precision,Train_recall,Val_recall,Test_recall
1,1.0,0.7651515151515151,0.702020202020202,1.0,0.793103448275862,0.5950413223140496,1.0,0.9251682371689064,0.6524145934739196,1.0,0.92,0.4675324675324675,1.0,0.696969696969697,0.8181818181818182
2,1.0,0.7324675324675325,0.6767676767676768,1.0,0.75,0.5714285714285715,1.0,0.9249952661247941,0.5043741074615332,1.0,0.9130434782608695,0.43902439024390244,1.0,0.6363636363636364,0.8181818181818182
3,1.0,0.7341991341991343,0.6628787878787878,1.0,0.7840909090909091,0.5606060606060607,1.0,0.8964433033030816,0.6124339711248925,1.0,0.8961038961038961,0.42045454545454547,1.0,0.696969696969697,0.8409090909090909
4,1.0,0.7282828282828283,0.6224747474747474,1.0,0.760233918128655,0.5087719298245614,1.0,0.8915829348081983,0.5768980786853153,1.0,0.9027777777777778,0.4142857142857143,1.0,0.6565656565656566,0.6590909090909091
5,1.0,0.666955266955267,0.6704545454545454,1.0,0.752808988764045,0.5645161290322581,1.0,0.8685313377799424,0.5600600316799595,1.0,0.8481012658227848,0.4375,1.0,0.6767676767676768,0.7954545454545454
Average,1.0,0.7254112554112554,0.6669191919191919,1.0,0.7680474528518942,0.5600728026411002,1.0,0.9013442158369847,0.5812361564851241,1.0,0.8960052835930655,0.4357594235033259,1.0,0.6727272727272727,0.7863636363636364
