Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_precision,Val_precision,Test_precision,Train_recall,Val_recall,Test_recall
1,1.0,0.7323232323232323,0.6919191919191919,1.0,0.7771428571428571,0.5853658536585367,1.0,0.8910555934432605,0.5826363667167557,1.0,0.8947368421052632,0.45569620253164556,1.0,0.6868686868686869,0.8181818181818182
2,1.0,0.7207792207792207,0.6085858585858586,1.0,0.7955801104972374,0.5112781954887218,0.9999999999999999,0.8959878929542513,0.5286519438047934,1.0,0.8780487804878049,0.38202247191011235,1.0,0.7272727272727273,0.7727272727272727
3,1.0,0.6972582972582972,0.6843434343434344,1.0,0.7934782608695652,0.5801526717557253,0.9999999999999999,0.8941240402196602,0.5973380513852873,1.0,0.8588235294117647,0.4367816091954023,1.0,0.7373737373737373,0.8636363636363636
4,1.0,0.6871572871572871,0.6275252525252526,1.0,0.7802197802197802,0.5323741007194245,1.0,0.8705294847021126,0.5455942730886847,1.0,0.8554216867469879,0.3894736842105263,1.0,0.7171717171717171,0.8409090909090909
5,1.0,0.7073593073593074,0.6881313131313131,1.0,0.8064516129032258,0.5826771653543307,1.0,0.8747530222575166,0.6085440202349084,1.0,0.8620689655172413,0.4457831325301205,1.0,0.7575757575757576,0.8409090909090909
Average,1.0,0.708975468975469,0.6601010101010101,1.0,0.7905745243265331,0.5583695973953477,1.0,0.8852900067153602,0.5725529310460858,1.0,0.8698199608538124,0.4219514200755613,1.0,0.7252525252525253,0.8272727272727274
