Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9920634920634921,0.6243055555555556,1.0,0.992,0.6942675159235668,1.0,0.9967184570023446,0.6613956611523905,1.0,1.0,0.6411764705882353,1.0,0.9841269841269841,0.7569444444444444,13.0
2,1.0,0.9920634920634921,0.60625,1.0,0.992,0.6894409937888198,1.0,0.9992773427761302,0.6920487315290366,1.0,1.0,0.6235955056179775,1.0,0.9841269841269841,0.7708333333333334,65.0
3,0.9976134188900146,0.9822595704948646,0.6902777777777778,0.997872340425532,0.9841269841269841,0.7197231833910035,0.9999775799585147,0.9904022666026997,0.8343963660349754,0.997872340425532,0.9841269841269841,0.7172413793103448,0.997872340425532,0.9841269841269841,0.7222222222222222,62.0
4,0.9965495891027806,0.996031746031746,0.6555555555555556,0.9968051118210862,0.9960159362549801,0.717948717948718,0.9999729053416311,0.9991526752544988,0.7474840882456395,0.997867803837953,1.0,0.6666666666666666,0.9957446808510638,0.9920634920634921,0.7777777777777778,91.0
5,1.0,0.99609375,0.5923611111111111,1.0,0.996078431372549,0.7,0.9999999999999999,0.9989406657933444,0.6439159691127188,1.0,1.0,0.6071428571428571,1.0,0.9921875,0.8263888888888888,98.0
Average,0.998832601598559,0.991702410130719,0.63375,0.9989354904493236,0.9920442703509027,0.7042760822104217,0.9999900970600291,0.9968982814858036,0.715848163214952,0.9991480288526968,0.9968253968253968,0.6511645758652163,0.998723404255319,0.9873263888888889,0.7708333333333333,
