Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9831932773109244,0.6298611111111112,1.0,0.984,0.6925566343042071,0.9999999999999999,0.9968515964559863,0.7247393209068915,1.0,0.9919354838709677,0.6484848484848484,1.0,0.9761904761904762,0.7430555555555556,12
2,1.0,0.9684873949579832,0.6208333333333333,1.0,0.9723320158102767,0.7164179104477612,0.9999999999999998,0.9988260762521718,0.7954200934089481,1.0,0.968503937007874,0.6282722513089005,1.0,0.9761904761904762,0.8333333333333334,26
3,1.0,0.96171802054155,0.6409722222222223,1.0,0.9689922480620154,0.7165109034267912,1.0,0.9679232508100638,0.7405618998359371,1.0,0.946969696969697,0.6497175141242938,1.0,0.9920634920634921,0.7986111111111112,9
4,1.0,0.9705882352941176,0.6458333333333333,1.0,0.9767441860465116,0.7169811320754716,0.9999999999999999,0.9992506449343476,0.6727548093641736,1.0,0.9545454545454546,0.6551724137931034,1.0,1.0,0.7916666666666666,10
5,1.0,0.98828125,0.6895833333333333,1.0,0.9881422924901185,0.7350993377483444,1.0,0.9963279842307284,0.7024071475197906,1.0,1.0,0.7025316455696202,1.0,0.9765625,0.7708333333333334,35
