Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.996031746031746,0.5909722222222222,1.0,0.9960159362549801,0.6770186335403726,1.0,0.9999999999999999,0.7083234371893659,1.0,1.0,0.6123595505617978,1.0,0.9920634920634921,0.7569444444444444,42.0
2,1.0,0.9911297852474323,0.6208333333333333,1.0,0.9920634920634921,0.7037037037037037,1.0,0.9988695205484452,0.6623536647423249,1.0,0.9920634920634921,0.6333333333333333,1.0,0.9920634920634921,0.7916666666666666,49.0
3,0.9952268377800293,0.9803921568627452,0.6645833333333333,0.9957446808510638,0.984375,0.6923076923076923,0.9999320968875155,0.9874168610662598,0.7946149118256893,0.9957446808510638,0.9692307692307692,0.6971830985915493,0.9957446808510638,1.0,0.6875,81.0
4,1.0,0.9813258636788049,0.6583333333333333,1.0,0.984251968503937,0.7238095238095238,1.0,0.9990658188813295,0.810474578973682,1.0,0.9765625,0.6666666666666666,1.0,0.9920634920634921,0.7916666666666666,82.0
5,1.0,0.984375,0.5791666666666666,1.0,0.9841269841269841,0.6687306501547987,0.9999999999999999,0.9929669934076635,0.6295634567049566,1.0,1.0,0.6033519553072626,1.0,0.96875,0.75,16.0
Average,0.9990453675560058,0.9866509103641457,0.6227777777777778,0.9991489361702127,0.9881666761898786,0.6931140407032181,0.999986419377503,0.9956638387807397,0.7210660098872037,0.9991489361702127,0.9875713522588523,0.6425789208921219,0.9991489361702127,0.9889880952380953,0.7555555555555555,
