Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9920634920634921,0.6006944444444444,1.0,0.992,0.6772151898734177,1.0,0.9999999999999999,0.7232922620518125,1.0,1.0,0.622093023255814,1.0,0.9841269841269841,0.7430555555555556,12
2,1.0,0.9773576097105509,0.6173611111111111,1.0,0.9802371541501976,0.6996904024767802,1.0,0.9990096645620973,0.7777804595156488,1.0,0.9763779527559056,0.6312849162011173,1.0,0.9841269841269841,0.7847222222222222,19
3,1.0,0.9705882352941176,0.6631944444444444,1.0,0.9767441860465116,0.7368421052631579,1.0,0.9777318304720422,0.6514638309943594,1.0,0.9545454545454546,0.664804469273743,1.0,1.0,0.8263888888888888,14
4,1.0,0.9715219421101774,0.6166666666666667,1.0,0.9765625,0.6878980891719745,1.0,0.9982853603282793,0.6554063104059971,1.0,0.9615384615384616,0.6352941176470588,1.0,0.9920634920634921,0.75,45
5,1.0,0.984375,0.5965277777777778,1.0,0.9841269841269841,0.6750788643533123,1.0,0.9965894955509705,0.7665494646356755,1.0,1.0,0.6184971098265896,1.0,0.96875,0.7430555555555556,16
