Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9733893557422969,0.6027777777777779,1.0,0.9761904761904762,0.6987951807228916,1.0,0.9972778198507742,0.6817551457339606,1.0,0.9761904761904762,0.6170212765957447,1.0,0.9761904761904762,0.8055555555555556,11
2,1.0,0.9813258636788049,0.6270833333333333,1.0,0.984251968503937,0.7134146341463414,1.0,0.9986710778540043,0.6888148135496828,1.0,0.9765625,0.6358695652173914,1.0,0.9920634920634921,0.8125,27
3,1.0,0.9705882352941176,0.6631944444444444,1.0,0.9767441860465116,0.7485029940119761,1.0,0.9876287459435638,0.6544687593892521,1.0,0.9545454545454546,0.6578947368421053,1.0,1.0,0.8680555555555556,61
4,1.0,0.9754901960784313,0.5847222222222221,1.0,0.980544747081712,0.6941176470588235,1.0,0.9239666987018134,0.6207465434549224,1.0,0.9618320610687023,0.6020408163265306,1.0,1.0,0.8194444444444444,35
5,1.0,0.984375,0.6048611111111111,1.0,0.9841269841269841,0.7062314540059347,1.0,0.9961321566538389,0.7318990052574599,1.0,1.0,0.616580310880829,1.0,0.96875,0.8263888888888888,93
