Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9920634920634921,0.5875,1.0,0.992,0.6728971962616822,1.0,0.9998755038432695,0.7148650907137232,1.0,1.0,0.6101694915254238,1.0,0.9841269841269841,0.75,26
2,1.0,0.9813258636788049,0.6215277777777778,1.0,0.984251968503937,0.7018633540372671,1.0,0.9983884926139759,0.7012712098768854,1.0,0.9765625,0.6348314606741573,1.0,0.9920634920634921,0.7847222222222222,52
3,1.0,0.9705882352941176,0.6611111111111112,1.0,0.9767441860465116,0.7295597484276729,1.0,0.9721706195901859,0.7192021984411745,1.0,0.9545454545454546,0.6666666666666666,1.0,1.0,0.8055555555555556,29
4,1.0,0.9715219421101774,0.6041666666666666,1.0,0.9765625,0.6813880126182965,1.0,0.9985424711688515,0.6275905366770996,1.0,0.9615384615384616,0.6242774566473989,1.0,0.9920634920634921,0.75,84
5,1.0,0.98046875,0.576388888888889,1.0,0.9800796812749004,0.6625,0.9999999999999999,0.9950716390540026,0.7833351856648427,1.0,1.0,0.6022727272727273,1.0,0.9609375,0.7361111111111112,30
