Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,0.9925531914893617,0.9920634920634921,0.59375,0.992497320471597,0.992,0.6687898089171974,0.9999504759538019,0.9986096258031405,0.7562141412284065,1.0,1.0,0.6176470588235294,0.9851063829787234,0.9841269841269841,0.7291666666666666,11.0
2,1.0,0.9911297852474323,0.6256944444444444,1.0,0.9920634920634921,0.7040498442367601,1.0,0.9980188247509643,0.6825583987956221,1.0,0.9920634920634921,0.6384180790960452,1.0,0.9920634920634921,0.7847222222222222,27.0
3,0.9952268377800293,0.9803921568627452,0.6833333333333333,0.9957446808510638,0.984375,0.7378640776699029,0.9999546420431639,0.9902489362228695,0.7567891599274388,0.9957446808510638,0.9692307692307692,0.6909090909090909,0.9957446808510638,1.0,0.7916666666666666,61.0
4,0.9989361702127659,0.9754901960784313,0.6,0.9989350372736954,0.980544747081712,0.6930091185410334,1.0,0.9520685090048432,0.5720676475589546,1.0,0.9618320610687023,0.6162162162162163,0.997872340425532,1.0,0.7916666666666666,35.0
5,1.0,0.99609375,0.6215277777777778,1.0,0.996078431372549,0.7147147147147147,1.0,0.9969879343180974,0.7491655205839598,1.0,1.0,0.6296296296296297,1.0,0.9921875,0.8263888888888888,93.0
Average,0.9973432398964315,0.9870338760504203,0.6248611111111111,0.9974354077192713,0.9890123341035506,0.7036855128159217,0.999981023599393,0.9871867660199829,0.7033589736188762,0.9991489361702127,0.9846252644725928,0.6385640149349023,0.9957446808510639,0.9936755952380952,0.7847222222222221,
