Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9920634920634921,0.5847222222222223,1.0,0.992,0.6808510638297872,1.0,0.9987703362559928,0.6194713555227231,1.0,1.0,0.6054054054054054,1.0,0.9841269841269841,0.7777777777777778,67.0
2,1.0,0.996031746031746,0.6340277777777777,1.0,0.9960159362549801,0.7084639498432602,1.0,0.9986816286485161,0.5734210702961935,1.0,1.0,0.6457142857142857,1.0,0.9920634920634921,0.7847222222222222,43.0
3,0.9965495891027806,0.9852941176470589,0.6784722222222223,0.9968051118210862,0.9882352941176471,0.7492260061919505,0.9999819017269447,0.9886978162643019,0.8310652677708266,0.997867803837953,0.9767441860465116,0.6759776536312849,0.9957446808510638,1.0,0.8402777777777778,45.0
4,0.9954857593155466,0.9754901960784313,0.6659722222222222,0.9957356076759062,0.980544747081712,0.7301587301587301,0.9999235665477828,0.9885493925441687,0.6510902266826388,0.9978632478632479,0.9618320610687023,0.672514619883041,0.9936170212765958,1.0,0.7986111111111112,27.0
5,1.0,0.99609375,0.6743055555555556,1.0,0.996078431372549,0.7348242811501597,1.0,0.9984719879488098,0.6675085296416532,1.0,1.0,0.6804733727810651,1.0,0.9921875,0.7986111111111112,52.0
Average,0.9984070696836655,0.9889946603641457,0.6475,0.9985081438993986,0.9905748817653777,0.7207048062347775,0.9999810936549455,0.9946342323323577,0.668511289982807,0.9991462103402402,0.9877152494230428,0.6560170674830165,0.997872340425532,0.9936755952380952,0.8,
