fold,train_accuracy,train_f1_score,train_auc_pr,train_precision,train_recall,val_accuracy,val_f1_score,val_auc_pr,val_precision,val_recall,test_accuracy,test_f1_score,test_auc_pr,test_precision,test_recall
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6440476190476191,0.7058823529411765,0.7973185577242483,0.6506024096385542,0.7714285714285715
2,0.9989339019189765,0.9989327641408752,0.9999864335192378,1.0,0.997867803837953,0.9914529914529915,0.9913793103448276,0.999507997803949,1.0,0.9829059829059829,0.6690476190476191,0.72,0.8037011452793367,0.675,0.7714285714285715
3,1.0,1.0,1.0,1.0,1.0,0.978494623655914,0.9831932773109243,1.0,0.9669421487603306,1.0,0.6440476190476191,0.7058823529411765,0.7890654465433534,0.6506024096385542,0.7714285714285715
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6482142857142857,0.7081967213114754,0.7957967616042947,0.6545454545454545,0.7714285714285715
5,0.9989316239316239,0.9989304812834224,1.0,1.0,0.9978632478632479,0.9830508474576272,0.9827586206896551,1.0,1.0,0.9661016949152542,0.6648809523809525,0.717607973421927,0.7948749464929195,0.6708074534161491,0.7714285714285715
average,0.9995731051701201,0.9995726490848595,0.9999972867038476,1.0,0.9991462103402402,0.9905996925133065,0.9914662416690814,0.9999015995607898,0.9933884297520661,0.9898015355642474,0.6540476190476191,0.7115138801231511,0.7961513715288305,0.6603115454477424,0.7714285714285715
