Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9901960784313726,0.5645833333333333,1.0,0.9921259842519685,0.6542056074766355,1.0,0.9987087851103293,0.7351125940895922,1.0,0.984375,0.5932203389830508,1.0,1.0,0.7291666666666666,13.0
2,1.0,0.9862278244631186,0.6006944444444444,1.0,0.9881422924901185,0.691131498470948,1.0,0.998432671159527,0.6423798435509664,1.0,0.984251968503937,0.6174863387978142,1.0,0.9920634920634921,0.7847222222222222,52.0
3,1.0,0.9813258636788049,0.6680555555555556,1.0,0.984251968503937,0.7249190938511327,1.0,0.9500514449771909,0.6218827271287688,1.0,0.9765625,0.6787878787878788,1.0,0.9920634920634921,0.7777777777777778,83.0
4,1.0,0.996031746031746,0.6048611111111111,1.0,0.9960159362549801,0.6932515337423313,1.0,0.9998755038432694,0.6438999636812521,1.0,1.0,0.6208791208791209,1.0,0.9920634920634921,0.7847222222222222,44.0
5,1.0,0.9921875,0.6013888888888889,1.0,0.9921259842519685,0.7023809523809523,1.0,0.9977060073281154,0.6284931405518666,1.0,1.0,0.6145833333333334,1.0,0.984375,0.8194444444444444,40.0
Average,1.0,0.9891938025210084,0.6079166666666667,1.0,0.9905324331505945,0.6931777371843999,1.0,0.9889548824836865,0.6543536538004892,1.0,0.9890378937007874,0.6249914021562397,1.0,0.9921130952380952,0.7791666666666666,
