Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9920634920634921,0.5923611111111111,1.0,0.992,0.6729559748427673,1.0,0.9998147090716131,0.7131307201846697,1.0,1.0,0.6149425287356322,1.0,0.9841269841269841,0.7430555555555556,26
2,1.0,0.9813258636788049,0.6256944444444444,1.0,0.984251968503937,0.7040498442367601,1.0,0.9988009117421763,0.7058476758551868,1.0,0.9765625,0.6384180790960452,1.0,0.9920634920634921,0.7847222222222222,52
3,1.0,0.9705882352941176,0.6722222222222223,1.0,0.9767441860465116,0.7398119122257053,1.0,0.9712222988519623,0.707349593748782,1.0,0.9545454545454546,0.6742857142857143,1.0,1.0,0.8194444444444444,29
4,1.0,0.9715219421101774,0.6152777777777778,1.0,0.9765625,0.6918238993710691,1.0,0.9987513324663118,0.6231687140842213,1.0,0.9615384615384616,0.632183908045977,1.0,0.9920634920634921,0.7638888888888888,80
5,1.0,0.984375,0.5840277777777778,1.0,0.9841269841269841,0.66875,1.0,0.9952201608316454,0.7793377459696988,1.0,1.0,0.6079545454545454,1.0,0.96875,0.7430555555555556,31
