Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9920634920634921,0.5958333333333333,1.0,0.992,0.677115987460815,1.0,0.9998122637324103,0.7303887257694212,1.0,1.0,0.6171428571428571,1.0,0.9841269841269841,0.75,30
2,1.0,0.9813258636788049,0.6354166666666667,1.0,0.984251968503937,0.7047619047619048,1.0,0.9994397443164633,0.786264592320402,1.0,0.9765625,0.6491228070175439,1.0,0.9920634920634921,0.7708333333333334,83
3,1.0,0.9754901960784313,0.6680555555555556,1.0,0.980544747081712,0.7375,1.0,0.9842194381420503,0.7579752299873955,1.0,0.9618320610687023,0.6704545454545454,1.0,1.0,0.8194444444444444,78
4,1.0,0.9754901960784313,0.6631944444444444,1.0,0.980544747081712,0.7243589743589743,1.0,0.9987067898509157,0.688551956936629,1.0,0.9618320610687023,0.6726190476190477,1.0,1.0,0.7847222222222222,60
5,1.0,0.984375,0.5777777777777777,1.0,0.9841269841269841,0.6582278481012658,1.0,0.9976153012969393,0.7371536840632033,1.0,1.0,0.6046511627906976,1.0,0.96875,0.7222222222222222,72
