Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall
1,0.9033040639423617,0.9000933706816059,0.6395833333333333,0.9016949152542373,0.8991596638655462,0.7321428571428571,0.9712790048589306,0.9717728733820157,0.8015693649717246,0.9614457831325302,0.9553571428571429,0.640625,0.8489361702127659,0.8492063492063492,0.8541666666666666
2,0.8969773725092873,0.846171802054155,0.6215277777777778,0.8985507246376812,0.8594377510040161,0.7018633540372671,0.9781291695273271,0.918353324076179,0.759422259254495,0.9437939110070258,0.8699186991869918,0.6348314606741573,0.8574468085106383,0.8492063492063492,0.7847222222222222
3,0.9259315546549589,0.8816526610644257,0.6326388888888889,0.9288061336254108,0.891566265060241,0.736231884057971,0.9770886769872509,0.9520778620612331,0.7840799137606633,0.9571106094808126,0.9024390243902439,0.6318407960199005,0.902127659574468,0.8809523809523809,0.8819444444444444
4,0.9251547900484071,0.9124649859943977,0.5465277777777777,0.9292709466811752,0.9266409266409267,0.6780626780626781,0.9792928986204992,0.9683856418361525,0.71883180592429,0.9510022271714922,0.9022556390977443,0.5748792270531401,0.9085106382978724,0.9523809523809523,0.8263888888888888
5,0.9143499775078723,0.86671875,0.6638888888888889,0.9151785714285714,0.8571428571428571,0.7580174927113703,0.9865227529195009,0.9645956873343595,0.887091496404419,0.9579439252336449,0.9611650485436893,0.6532663316582915,0.8760683760683761,0.7734375,0.9027777777777778
Average,0.9131435517325774,0.8814203139589167,0.6208333333333332,0.9147002583254151,0.8867894927427173,0.7212636532024288,0.9784625005827017,0.9550370777379878,0.7901989680631184,0.9542592912051011,0.9182271108151625,0.6270885630810978,0.8786179305328241,0.8610367063492064,0.85
