Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,1.0,0.6409722222222223,1.0,1.0,0.7165109034267912,1.0,1.0,0.7586692568668177,1.0,1.0,0.6497175141242938,1.0,1.0,0.7986111111111112,61.0
2,1.0,0.9950980392156863,0.6256944444444444,1.0,0.9960474308300395,0.7040498442367601,1.0,0.9988594513164992,0.7810821777514012,1.0,0.9921259842519685,0.6384180790960452,1.0,1.0,0.7847222222222222,65.0
3,0.9962906675672634,0.9862278244631186,0.6604166666666667,0.9968119022316685,0.9881422924901185,0.7184466019417476,0.9996932034127839,0.9970256505400963,0.7981322555961166,0.9957537154989384,0.984251968503937,0.6727272727272727,0.997872340425532,0.9920634920634921,0.7708333333333334,16.0
4,0.9989361702127659,1.0,0.6256944444444444,0.9989350372736954,1.0,0.7040498442367601,0.9999864910351937,0.9999999999999999,0.8069363512651899,1.0,1.0,0.6384180790960452,0.997872340425532,1.0,0.7847222222222222,80.0
5,0.9989316239316239,0.99609375,0.5798611111111112,0.9989304812834224,0.996078431372549,0.6807228915662651,1.0,0.9980296751375989,0.6640751824778056,1.0,1.0,0.601063829787234,0.9978632478632479,0.9921875,0.7847222222222222,18.0
Average,0.9988316923423305,0.995483922735761,0.6265277777777778,0.9989354841577572,0.9960536309385415,0.7047560170816648,0.9999359388895955,0.9987829553988389,0.7617790447914663,0.9991507430997878,0.9952755905511811,0.6400689549661782,0.9987215857428623,0.9968501984126984,0.7847222222222223,
