Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,0.8526961612067996,0.8333333333333334,0.5722222222222222,0.8574610244988864,0.8467741935483871,0.6287625418060201,0.9473213903307884,0.9444788361969545,0.7648611697180808,0.8995327102803738,0.860655737704918,0.6064516129032258,0.8191489361702128,0.8333333333333334,0.6527777777777778,98.0
2,0.8253236519193965,0.7658730158730158,0.6465277777777778,0.825938566552901,0.7619047619047619,0.6870748299319728,0.9270165418880743,0.8888259031534371,0.7920879894384958,0.8875305623471883,0.8380952380952381,0.6733333333333333,0.7723404255319148,0.6984126984126984,0.7013888888888888,89.0
3,0.8123550602274007,0.8057889822595705,0.6361111111111111,0.8162344983089064,0.824,0.6571428571428571,0.9259225996781523,0.8936382824560926,0.7624884809413794,0.86810551558753,0.8306451612903226,0.6764705882352942,0.7702127659574468,0.8174603174603174,0.6388888888888888,99.0
4,0.7911347517730496,0.8074229691876751,0.6201388888888889,0.7954802259887006,0.810126582278481,0.6621160409556314,0.9015009897678925,0.9108436355411712,0.7534667962816455,0.8481927710843373,0.8648648648648649,0.6510067114093959,0.7489361702127659,0.7619047619047619,0.6736111111111112,94.0
5,0.7971322537112011,0.7068749999999999,0.6208333333333333,0.7896592244418331,0.6846846846846847,0.6428571428571429,0.9191044774254029,0.8688072116186238,0.7886483040031753,0.8772845953002611,0.8085106382978723,0.6617647058823529,0.717948717948718,0.59375,0.625,99.0
Average,0.8157283757675694,0.783858660130719,0.6191666666666666,0.8169547079582455,0.7854980444832629,0.6555906825387249,0.924173199818062,0.9013187737932558,0.7723105480765554,0.8761292309199382,0.8405543280506432,0.6538053903527203,0.7657174031642116,0.7409722222222221,0.6583333333333333,
