Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,0.8181357649442755,0.8363678804855275,0.5395833333333333,0.8160919540229885,0.852589641434263,0.6098360655737705,0.9304192338602492,0.9285459896202934,0.7405994957789879,0.8875,0.856,0.577639751552795,0.7553191489361702,0.8492063492063492,0.6458333333333334,99.0
2,0.7858156028368795,0.8004201680672269,0.5819444444444444,0.7886363636363637,0.7982832618025751,0.6099290780141844,0.880166698078533,0.8625390608540485,0.6064782122501409,0.8463414634146341,0.8691588785046729,0.6231884057971014,0.7382978723404255,0.7380952380952381,0.5972222222222222,92.0
3,0.7232860520094562,0.7415966386554622,0.6006944444444444,0.6492434662998624,0.6956521739130435,0.5439330543933054,0.8828723191556667,0.8519912581715852,0.7569277227359863,0.9182879377431906,0.8888888888888888,0.6842105263157895,0.502127659574468,0.5714285714285714,0.4513888888888889,92.0
4,0.6930935494765282,0.7285247432306257,0.58125,0.6224627875507442,0.6598984771573604,0.4978165938864629,0.8308132773209458,0.848519060311998,0.6598334721694286,0.8550185873605948,0.9154929577464789,0.6705882352941176,0.48936170212765956,0.5158730158730159,0.3958333333333333,92.0
5,0.769523166891588,0.7581249999999999,0.6625,0.7469287469287469,0.7433628318584071,0.6666666666666666,0.8996016664598169,0.869417837743738,0.8053968283576034,0.8786127167630058,0.8571428571428571,0.7142857142857143,0.6495726495726496,0.65625,0.625,76.0
Average,0.7579708272317456,0.7730068860877685,0.5931944444444445,0.7246726636877412,0.7499572772331298,0.5856362917068779,0.8847746389750423,0.8722026413403328,0.7138471462584295,0.8771521410562851,0.8773367164565796,0.6539825266491036,0.6269358065102746,0.666170634920635,0.5430555555555555,
