Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9880952380952381,0.6166666666666667,1.0,0.9879518072289156,0.6878980891719745,1.0,0.9992135946962531,0.6705301162068638,1.0,1.0,0.6352941176470588,1.0,0.9761904761904762,0.75,27
2,1.0,0.9871615312791784,0.6125,1.0,0.9880478087649402,0.6857142857142857,1.0,0.9979263935554078,0.6376721143530706,1.0,0.992,0.631578947368421,1.0,0.9841269841269841,0.75,30
3,1.0,0.9656862745098039,0.6368055555555556,1.0,0.972972972972973,0.7009646302250804,1.0,0.9940846217880153,0.8250023836018563,1.0,0.9473684210526315,0.6526946107784432,1.0,1.0,0.7569444444444444,13
4,1.0,0.9675536881419233,0.63125,1.0,0.9725490196078431,0.6885245901639344,1.0,0.9975318506253662,0.6775373334279419,1.0,0.9612403100775194,0.6521739130434783,1.0,0.9841269841269841,0.7291666666666666,12
5,1.0,0.969375,0.5770833333333334,1.0,0.9725490196078431,0.6747720364741642,1.0,0.9968743025911706,0.7428899785299654,1.0,0.9763779527559056,0.6,1.0,0.96875,0.7708333333333334,76
