Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.996031746031746,0.5743055555555555,1.0,0.9960159362549801,0.6687116564417178,1.0,0.9999999999999999,0.7227129731695802,1.0,1.0,0.5989010989010989,1.0,0.9920634920634921,0.7569444444444444,98
2,1.0,0.9822595704948646,0.6305555555555555,1.0,0.9841269841269841,0.7044025157232704,1.0,0.9976570063263333,0.7085787971518478,1.0,0.9841269841269841,0.6436781609195402,1.0,0.9841269841269841,0.7777777777777778,96
3,1.0,0.9656862745098039,0.6659722222222222,1.0,0.972972972972973,0.7301587301587301,1.0,0.9712164480666047,0.6967305919004945,1.0,0.9473684210526315,0.672514619883041,1.0,1.0,0.7986111111111112,56
4,1.0,0.9675536881419233,0.6402777777777777,1.0,0.9725490196078431,0.718266253869969,1.0,0.9982780892488026,0.647562016828161,1.0,0.9612403100775194,0.6480446927374302,1.0,0.9841269841269841,0.8055555555555556,69
5,1.0,0.984375,0.5916666666666667,1.0,0.9841269841269841,0.675,1.0,0.9965585984548241,0.653019933407771,1.0,1.0,0.6136363636363636,1.0,0.96875,0.75,60
