Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9831932773109244,0.5854166666666667,1.0,0.984,0.6645569620253164,1.0,0.9981754209452678,0.7911546936783481,1.0,0.9919354838709677,0.6104651162790697,1.0,0.9761904761904762,0.7291666666666666,14.0
2,0.9893898457728245,0.9801587301587302,0.6409722222222223,0.9904153354632588,0.979757085020243,0.6889632107023411,0.9996503273927828,0.9993246482726618,0.8000278507640529,0.9914712153518124,1.0,0.6645161290322581,0.9893617021276596,0.9603174603174603,0.7152777777777778,10.0
3,0.9986772486772486,0.9852941176470589,0.6347222222222222,0.9989373007438895,0.9882352941176471,0.7066246056782335,1.0,0.9613117943954573,0.7595496518725492,0.9978768577494692,0.9767441860465116,0.6473988439306358,1.0,1.0,0.7777777777777778,12.0
4,1.0,0.996031746031746,0.6222222222222222,1.0,0.9960159362549801,0.7,1.0,0.9995807068175488,0.7469908152293993,1.0,1.0,0.6363636363636364,1.0,0.9920634920634921,0.7777777777777778,20.0
5,0.9954790823211876,0.9921875,0.625,0.9957173447537473,0.9921259842519685,0.718562874251497,0.9998645843906787,0.9969879343180974,0.7840677130456246,0.9978540772532188,1.0,0.631578947368421,0.9935897435897436,0.984375,0.8333333333333334,17.0
Average,0.9967092353542523,0.9873730742296919,0.6216666666666667,0.9970139961921791,0.9880268599289679,0.6957415305314776,0.9999029823566923,0.9910761009498067,0.7763581449179948,0.9974404300709001,0.9937359339834959,0.6380645345948042,0.9965902891434807,0.9825892857142857,0.7666666666666667,
