Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,0.9965495891027806,0.9920634920634921,0.6180555555555556,0.9968051118210862,0.992,0.6688963210702341,0.9997637540515176,0.9973366473058247,0.6965696179966543,0.997867803837953,1.0,0.6451612903225806,0.9957446808510638,0.9841269841269841,0.6944444444444444,10.0
2,1.0,0.9871615312791784,0.6381944444444444,1.0,0.9880478087649402,0.723404255319149,1.0,0.9975134923379605,0.7398708210199689,1.0,0.992,0.6432432432432432,1.0,0.9841269841269841,0.8263888888888888,64.0
3,0.9965495891027806,0.9852941176470589,0.6576388888888889,0.9968051118210862,0.9882352941176471,0.7255520504731862,0.9999638408379257,0.9759224934133474,0.6813122460581846,0.997867803837953,0.9767441860465116,0.6647398843930635,0.9957446808510638,1.0,0.7986111111111112,86.0
4,1.0,0.9715219421101774,0.6583333333333333,1.0,0.9765625,0.7238095238095238,1.0,0.9982443953492622,0.6290182288123702,1.0,0.9615384615384616,0.6666666666666666,1.0,0.9920634920634921,0.7916666666666666,38.0
5,1.0,0.98828125,0.6118055555555555,1.0,0.9881422924901185,0.6876971608832808,1.0,0.9941628733230505,0.6644042384456097,1.0,1.0,0.630057803468208,1.0,0.9765625,0.7569444444444444,13.0
Average,0.9986198356411122,0.9848644666199814,0.6368055555555555,0.9987220447284345,0.9865975790745412,0.7058718623110748,0.9999455189778887,0.9926359803458891,0.6822350304665575,0.9991471215351811,0.9860565295169946,0.6499737776187524,0.9982978723404254,0.9873759920634921,0.773611111111111,
