Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,0.9920353484183271,0.9801587301587302,0.6333333333333333,0.9925293489861259,0.979757085020243,0.7102803738317757,0.9990448153080387,0.9965575056703293,0.7564518471090947,0.9957173447537473,1.0,0.6440677966101694,0.9893617021276596,0.9603174603174603,0.7916666666666666,77.0
2,0.9893617021276595,0.9743230625583567,0.64375,0.989247311827957,0.976,0.7222222222222222,0.9997693677827547,0.9972785033472154,0.7518981779686134,1.0,0.9838709677419355,0.65,0.9787234042553191,0.9682539682539683,0.8125,93.0
3,0.9986772486772486,0.9852941176470589,0.6493055555555556,0.9989373007438895,0.9882352941176471,0.7210031347962382,1.0,0.9489547296977161,0.6708181479293258,0.9978768577494692,0.9767441860465116,0.6571428571428571,1.0,1.0,0.7986111111111112,94.0
4,0.9968085106382979,0.9605508870214753,0.5888888888888889,0.9967982924226254,0.9641434262948207,0.6829268292682927,0.9997138372453621,0.9961452969814768,0.649630296672457,1.0,0.968,0.6086956521739131,0.9936170212765958,0.9603174603174603,0.7777777777777778,95.0
5,0.9816689158794422,0.9609375,0.6229166666666667,0.9827956989247312,0.959349593495935,0.6981132075471698,0.9972357276660767,0.9897409746233957,0.7478401460159982,0.9891774891774892,1.0,0.6379310344827587,0.9764957264957265,0.921875,0.7708333333333334,89.0
Average,0.9917103451481951,0.9722528594771243,0.627638888888889,0.9920615905810658,0.9734970797857292,0.7069091535331398,0.9991527496004465,0.9857354020640268,0.7153277231390979,0.9965543383361413,0.9857230307576895,0.6395674680819396,0.9876395708310601,0.9621527777777779,0.7902777777777777,
