Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,1.0,0.6005952380952382,1.0,1.0,0.7183908045977011,1.0,1.0,0.7513877393317839,1.0,1.0,0.6009615384615384,1.0,1.0,0.8928571428571429,41.0
2,1.0,1.0,0.6130952380952381,1.0,1.0,0.7246376811594203,1.0,1.0,0.772852410557603,1.0,1.0,0.6097560975609756,1.0,1.0,0.8928571428571429,86.0
3,1.0,0.9731182795698925,0.6285714285714286,1.0,0.9790794979079498,0.736231884057971,0.9999999999999999,0.9993375998309058,0.8147591929069845,1.0,0.9590163934426229,0.6195121951219512,1.0,1.0,0.9071428571428571,42.0
4,1.0,0.9914529914529915,0.618452380952381,1.0,0.9913793103448276,0.7235294117647059,1.0,0.9997162769890042,0.7221247439217217,1.0,1.0,0.615,1.0,0.9829059829059829,0.8785714285714286,59.0
5,1.0,0.9872881355932204,0.6130952380952381,1.0,0.9871244635193133,0.7374301675977654,0.9999999999999999,1.0,0.790663688371668,1.0,1.0,0.6055045871559633,1.0,0.9745762711864406,0.9428571428571428,73.0
Average,1.0,0.9903718813232208,0.6147619047619048,1.0,0.9915166543544182,0.7280439898355128,1.0,0.999810775363982,0.7703575550179522,1.0,0.9918032786885245,0.6101468836600857,1.0,0.9914964508184847,0.9028571428571428,
