Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.996031746031746,0.6104166666666666,1.0,0.9960159362549801,0.7048192771084337,1.0,0.9999999999999999,0.6231498376477276,1.0,1.0,0.6223404255319149,1.0,0.9920634920634921,0.8125,97
2,1.0,0.9773576097105509,0.6520833333333333,1.0,0.9802371541501976,0.7387387387387387,1.0,0.9993208478456757,0.806753956906948,1.0,0.9763779527559056,0.6507936507936508,1.0,0.9841269841269841,0.8541666666666666,63
3,1.0,0.9705882352941176,0.6472222222222223,1.0,0.9767441860465116,0.7380952380952381,1.0,0.9862043895473015,0.6850493042074639,1.0,0.9545454545454546,0.6458333333333334,1.0,1.0,0.8611111111111112,6
4,1.0,0.9715219421101774,0.6118055555555555,1.0,0.9765625,0.6876971608832808,1.0,0.9976515715930303,0.7168316112501597,1.0,0.9615384615384616,0.630057803468208,1.0,0.9920634920634921,0.7569444444444444,71
5,1.0,0.98046875,0.7180555555555556,1.0,0.9800796812749004,0.7774294670846394,1.0,0.9970665253661786,0.7944245682354572,1.0,1.0,0.7085714285714285,1.0,0.9609375,0.8611111111111112,85
