Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9813258636788049,0.6229166666666667,1.0,0.984251968503937,0.7112462006079028,1.0,0.9995681090081296,0.6828825729868082,1.0,0.9765625,0.6324324324324324,1.0,0.9920634920634921,0.8125,12
2,1.0,0.9715219421101774,0.6055555555555555,1.0,0.9765625,0.7044776119402985,1.0,0.9926230740315607,0.6156502864935272,1.0,0.9615384615384616,0.6178010471204188,1.0,0.9920634920634921,0.8194444444444444,88
3,1.0,0.9705882352941176,0.6229166666666667,1.0,0.9767441860465116,0.7235294117647059,1.0,0.932443974528828,0.6052905857902335,1.0,0.9545454545454546,0.6275510204081632,1.0,1.0,0.8541666666666666,34
4,1.0,0.9675536881419233,0.5979166666666667,1.0,0.9725490196078431,0.670926517571885,1.0,0.9939887341731692,0.6165857446441242,1.0,0.9612403100775194,0.621301775147929,1.0,0.9841269841269841,0.7291666666666666,61
5,1.0,0.98046875,0.6423611111111112,1.0,0.9800796812749004,0.7129337539432177,1.0,0.9925778178638175,0.6442235487839476,1.0,1.0,0.653179190751445,1.0,0.9609375,0.7847222222222222,83
