Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,1.0,0.9950980392156863,0.5923611111111111,1.0,0.9960474308300395,0.6869300911854104,1.0,0.9997460073603971,0.7683427933979801,1.0,0.9921259842519685,0.6108108108108108,1.0,1.0,0.7847222222222222,14.0
2,1.0,0.9803921568627452,0.6520833333333333,1.0,0.984375,0.7267080745341615,1.0,0.992169137489979,0.7500100533038433,1.0,0.9692307692307692,0.6573033707865169,1.0,1.0,0.8125,64.0
3,1.0,0.9852941176470589,0.7020833333333334,1.0,0.9882352941176471,0.7548387096774194,1.0,0.9665625407152734,0.7550471952008191,1.0,0.9767441860465116,0.7048192771084337,1.0,1.0,0.8125,18.0
4,1.0,0.996031746031746,0.6541666666666667,1.0,0.9960159362549801,0.7081967213114754,1.0,0.9998755038432695,0.787854982085611,1.0,1.0,0.6708074534161491,1.0,0.9920634920634921,0.75,81.0
5,1.0,0.9921875,0.6270833333333333,1.0,0.9921259842519685,0.7003154574132492,0.9999999999999999,0.9967462644265008,0.6844255531864577,1.0,1.0,0.6416184971098265,1.0,0.984375,0.7708333333333334,51.0
Average,1.0,0.9898007119514473,0.6455555555555555,1.0,0.9913599290909272,0.7153978108243433,1.0,0.9910198907670841,0.7491361154349423,1.0,0.9876201879058499,0.6570718818463473,1.0,0.9952876984126984,0.7861111111111112,
